head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0
0.0,-0.06941,-2.84438,0.38388,0.36585,-1.12748,-3.03728,-0.05177,-3.05914,2.81792,2.09503,-0.99594,0.71599,-2.24383,-0.56796,-1.68316,-12.56599
0.0,-0.06941,-2.93182,2.24076,0.86248,0.66805,-3.0507,0.04985,-3.05914,2.81792,2.0958,-0.99517,0.71637,-2.24345,-0.56796,-1.68278,-12.56599
0.0,-0.06903,-2.95867,0.30565,0.87859,0.26231,-3.05032,-0.58176,-3.06068,2.81869,2.0958,-0.99517,0.71675,-2.24345,-0.56757,-1.68316,-12.56599
0.0,-0.06903,-2.95905,1.61988,0.90198,0.34668,-3.05109,0.1883,-3.06068,2.81831,2.09503,-0.99555,0.71637,-2.24306,-0.56757,-1.68316,-12.56599
0.0,-0.06941,-2.95598,1.6195,0.90198,0.34975,-3.05032,0.18868,-3.05837,3.02885,1.64174,-0.78732,0.58023,-2.6442,-0.26308,-0.27688,-12.56599
0.0,-0.06941,-2.95636,1.6195,0.90198,0.34898,-3.04764,0.18791,-3.05876,1.48643,1.59534,-0.7785,0.02915,-3.0461,0.02608,-0.28916,-12.56599
0.0,-0.06903,-1.51902,1.54203,0.76085,-0.02761,-3.05032,-0.14534,-2.97822,1.49333,1.59496,-0.77581,0.02493,-3.04649,0.02569,-0.28839,-12.56599
0.0,-0.07018,-1.57847,0.57294,0.05944,0.51388,-3.04955,-0.33594,-3.03153,1.49371,1.59534,-0.77581,0.02416,-3.04687,0.02608,-0.28839,-12.56599
0.0,-0.06941,-1.58038,0.57294,0.05944,0.5158,-3.04955,-0.33671,-3.03153,1.57195,0.03336,0.65654,-0.0441,-3.04649,-0.03221,-0.23662,-12.56599
0.0,-0.06903,-1.64213,0.13077,-0.79307,0.0813,-3.00699,0.03988,-3.03076,1.57118,0.0326,0.65693,-0.04449,-3.0461,-0.028,-0.237,-12.56599
0.0,-0.06941,-1.64059,0.12924,-0.79307,0.08245,-3.00468,0.04142,-3.03115,1.57693,-0.0303,0.66153,0.64734,-3.01619,0.00383,-0.00345,-12.56599
0.0,-0.06903,-1.60339,0.04487,-0.78655,0.63162,-3.00967,-0.08015,-3.03153,1.57578,-0.03068,0.6623,0.64082,-3.01619,0.0069,-0.00268,-12.56599
0.0,-0.0698,-1.59917,0.04487,-0.78463,0.65386,-3.00814,-0.07593,-3.03191,1.50253,0.1883,-0.61513,0.67457,-3.0461,-0.22166,-0.0767,-12.56599
0.0,-0.06903,-1.40628,-0.01649,-0.63468,1.04081,-2.97976,-0.33901,-3.05991,1.50215,0.18753,-0.61129,0.67303,-3.04572,-0.22243,-0.07747,-12.56599
0.0,-0.06941,-1.40513,-0.01572,-0.63392,1.04771,-2.98014,-0.33863,-3.05914,1.52363,0.17948,0.12962,0.08245,-3.04649,-0.02454,-0.10239,-12.56599
0.0,-0.0698,-1.40513,-0.01457,-0.63315,1.04733,-2.97976,-0.33824,-3.05876,1.51826,0.47899,-0.48474,0.0092,-3.0461,-0.09587,-0.09894,-12.56599
0.0,-0.06941,-1.40474,-0.01572,-0.63353,1.04694,-2.98014,-0.33863,-3.05876,1.05576,1.45997,-0.51849,0.00307,-3.04687,-0.02339,-0.37621,-12.56599
0.0,-0.06903,-1.40513,-0.01572,-0.63238,1.04617,-2.97976,-0.33863,-3.05914,1.24061,0.11313,0.8387,-0.74321,-2.23884,0.46403,-0.20172,-12.56599
0.0,-0.06903,-1.40436,-0.01534,-0.63238,1.04694,-2.98091,-0.33863,-3.05914,0.77428,-0.04947,0.39347,-0.2278,-3.04687,-0.18906,-0.06404,-12.56599
0.0,-0.06865,-1.64711,-0.051,0.78885,0.00499,-3.05032,-0.19865,-3.05914,0.92844,-0.051,-0.0303,0.24812,-3.0461,0.18561,-0.08092,-12.56599
0.0,-0.06903,-1.64788,-0.05024,0.78962,0.00345,-3.05032,-0.1998,-3.05952,1.52593,1.44578,-0.73133,0.01649,-3.0461,-0.19136,-0.33096,-12.56599
0.0,-0.06865,-1.64826,-0.05024,0.78847,0.00537,-3.04917,-0.1998,-3.05876,2.69252,2.39109,-0.88933,0.10776,-3.0461,-0.34054,-0.41801,-12.56599
0.0,-0.06788,-2.23654,1.25326,0.26116,0.02301,-3.04572,-0.84446,-3.05876,2.69022,2.39454,-0.88894,0.10623,-3.0461,-0.33978,-0.41801,-12.56599
0.0,-0.06865,-2.2584,0.35167,-1.46649,0.10738,-3.04994,0.22396,-3.05952,2.68984,2.39339,-0.88894,0.10584,-3.04649,-0.33978,-0.41763,-12.56599
0.0,-0.06903,-2.003,1.23677,-0.36585,0.77313,-3.05032,0.02339,-3.05914,2.6906,2.39378,-0.88933,0.10623,-3.04649,-0.34016,-0.41763,-12.56599
0.0,-0.06903,-2.00453,1.23677,-0.36547,0.77389,-3.04994,0.02339,-3.05876,1.29468,1.80741,-0.66997,0.44447,-3.04649,-0.08667,-0.67457,-12.56599
0.0,-0.06903,-1.56504,1.47339,-0.58291,0.45828,-2.76692,-0.1649,-2.93067,1.68124,1.68738,0.80572,-0.09587,-3.03767,0.34323,-0.20133,-12.56599
0.0,-0.06865,-1.55584,1.46534,-0.57908,0.46058,-2.76653,-0.16375,-2.93029,2.33012,1.53782,0.87782,-0.051,-3.04649,0.15723,-0.20402,-12.56599
0.0,-0.06865,-1.54012,1.43466,-0.55914,0.47093,-2.765,-0.15417,-2.93105,2.85052,0.38503,0.84944,0.13192,-3.01581,0.344,-0.06788,-12.56599
0.0,-0.06903,-1.53973,1.43159,-0.55722,0.47093,-2.765,-0.15455,-2.93067,3.05377,1.38634,0.81493,0.07708,-3.03997,-0.20402,-0.15685,-12.56599
0.0,-0.06903,-2.34085,1.05883,-0.8598,0.23853,-2.96634,-0.20133,-3.05952,3.04687,1.40743,0.80227,0.04027,-3.0392,-0.19558,-0.15532,-12.56599
0.0,-0.06865,-2.45897,0.24889,-1.08299,-0.1116,-3.02885,0.15915,-0.24544,2.99548,0.33249,0.64389,0.03068,-3.0369,-0.13537,0.04909,-12.56599
0.0,-0.06865,-2.4582,0.24966,-1.08107,-0.11006,-3.02501,0.15762,-0.24314,2.85397,1.08222,0.45061,1.05154,-3.04495,-0.17756,-0.05522,-12.56599
0.0,-0.06865,-2.21238,0.83564,-0.76124,0.40842,-3.03728,-0.13116,0.06519,2.85205,1.08069,0.44984,1.03505,-3.04572,-0.17986,-0.05484,-12.56599
0.0,-0.06941,-1.60646,1.38864,0.3045,0.12924,-2.79261,-0.6343,-0.10278,1.76983,0.94263,0.06251,0.38158,-3.0461,-0.17756,-0.20057,-12.56599
0.0,-0.06903,-1.62295,-0.05062,-0.79307,-0.02033,-2.60393,-0.21322,-0.33364,1.81777,2.60355,0.10201,0.39692,-3.04649,0.0115,-0.18369,-12.56599
0.0,-0.06865,-1.62295,-0.04985,-0.7923,-0.01764,-2.60355,-0.21399,-0.33364,2.38304,1.88258,0.52232,-0.028,-2.84093,-0.01764,-0.11121,-12.56599
0.0,-0.06826,-1.62487,-0.04985,-0.79345,-0.01841,-2.60432,-0.21361,-0.33211,3.05492,1.34147,0.59403,-0.10316,-2.84132,-0.17871,-0.10009,-12.56599
0.0,-0.06903,-1.62372,-0.05024,-0.79345,-0.01726,-2.60393,-0.21437,-0.33249,2.92338,0.05139,0.65309,-0.01917,-2.96634,0.17641,-0.11888,-12.56599
0.0,-0.06865,-1.62372,-0.04985,-0.79192,-0.01802,-2.60393,-0.21399,-0.33326,2.12073,1.73762,0.80687,-0.04142,-2.91725,0.08744,-0.3858,-12.56599
0.0,-0.06865,-1.00936,1.02086,-1.03659,0.0721,-2.71208,-0.31063,-0.37199,2.12686,1.73685,0.80496,-0.04065,-2.91763,0.08705,-0.38465,-12.56599
0.0,-0.06903,-1.61528,1.1152,-0.13729,0.13806,-2.71476,-0.12118,-0.19673,2.12725,1.73685,0.80496,-0.04142,-2.91763,0.08667,-0.38503,-12.56599
0.0,-0.06865,-1.60224,1.106,-0.13116,0.15301,-2.71285,-0.12003,-0.19712,1.88296,0.86708,0.81569,-0.0069,-3.04457,-0.0349,-0.40919,-12.56599
0.0,-0.06865,-1.62985,1.79361,-0.20709,0.288,-2.90229,-0.58138,-0.26845,1.46457,2.61659,-0.20977,0.13921,-3.04649,-0.1162,-0.27957,-12.56599
0.0,-0.06865,-1.58575,0.76699,-0.58138,0.16107,-2.80335,-0.00997,-0.31753,1.4638,2.61812,-0.20977,0.13959,-3.0461,-0.11697,-0.27957,-12.56599
